Iterations,Threads,Pthread,Condvar,Sense
1000,2,0.00325200575,0.00364375025,0.0004837385
1000,4,0.0039657775,0.00479563625,0.0010367155
1000,6,0.00425344275,0.0057634735,0.0018192537499999999
1000,12,0.007521949,0.0129179515,0.006928470000000001
1000,16,0.0119462095,0.023657546749999998,4.608054978249999
-----------------------------------------------------------
5000,2,0.014019862000000001,0.01638969375,0.002309737
5000,4,0.019396135999999998,0.026231251,0.00527501
5000,6,0.021821416750000003,0.03075606025,0.008424714
5000,12,0.03543104425,0.06290929175,0.049018785499999995
5000,16,0.058430050000000004,0.12059134425000001,23.07544673425
-----------------------------------------------------------
7000,2,0.0196623595,0.0228532625,0.00293217025
7000,4,0.023928938,0.030372813250000002,0.0063464135
7000,6,0.030063930250000002,0.03959025975,0.010905662000000002
7000,12,0.0495310365,0.08901890075000002,0.063139517
7000,16,0.08516762675,0.1717566115,32.20471212875
-----------------------------------------------------------
10000,2,0.031135567,0.03342347925,0.00471107175
10000,4,0.0335539475,0.043314635500000004,0.0090838975
10000,6,0.0452556005,0.06075280675,0.01670283625
10000,12,0.0701135625,0.12753812474999998,0.07318805349999999
10000,16,0.12112650575,0.2447712185,46.16105747575
