version,nodes,units_per_node,n,sparsity,iters,dense_send,dense_exec,dense_total,csr_init,csr_send,csr_exec,csr_total,serial_exec
PureMPI,2,4,1000,90,10,0.0258360505,0.168787658225,0.194623708725,0.004823446275,0.000386059275,0.147029995925,0.152239501475,0.02699297665
Hybrid,2,4,1000,90,10,0.002466022975,0.01419627665,0.016662299625,0.004626035675,0.000293254875,0.22855228182499998,0.233471572375,0.02723395825
PureMPI,3,5,1000,90,10,0.0442893505,0.249441146875,0.293730497375,0.004873275775,0.00035583972499999997,0.21234303715,0.21757215262500001,0.0268021822
Hybrid,3,5,1000,90,10,0.0022994876,0.010269045825,0.012568533425,0.0047071576,0.00020366904999999998,0.043987751,0.048898577675,0.02680909635
PureMPI,4,4,1000,90,10,0.022870719425,0.1718174815,0.19468820095,0.0049327016000000005,0.00034332275,0.15189146995,0.1571674943,0.026954531675
Hybrid,4,4,1000,90,10,0.0020784736,0.0081665516,0.01024502515,0.0047813058,0.00015270712500000002,0.5097862482,0.5147202611,0.026898503325
PureMPI,5,6,1000,90,10,0.035252511525,0.2759563327,0.31120884415,0.007817983625,0.00042247775,0.257017493275,0.2652579546,0.026644527925
Hybrid,5,6,1000,90,10,0.0134500265,0.14047825335,0.1539282799,0.0047954321,0.026017308250000003,0.0853317976,0.11614453795,0.026796996575000002
PureMPI,10,4,1000,90,10,0.017486393450000002,0.295241296275,0.31272768975,0.004960536975,0.00048494337499999996,0.270510017875,0.2759554982,0.02654981615
Hybrid,10,4,1000,90,10,0.02782702445,0.18225574495,0.2100827694,0.0048052072500000004,0.00034856797500000005,0.601182878025,0.60633665325,0.0267583728
PureMPI,20,4,1000,90,10,0.025791049025000002,0.41160047055,0.437391519525,0.004894673825,0.0009312629666666667,0.3537990252,0.3595774968666667,0.026475747433333332
Hybrid,20,4,1000,90,10,0.027627229675,0.2394027114,0.267029941075,0.004785716525,0.00036352875,0.720986545075,0.726135790375,0.02674895525
PureMPI,20,4,1000,99,10,0.034556210025,0.397229433075,0.4317856431,0.0035530328749999998,0.00064754485,0.33567988875,0.33987891675,0.0264470577
Hybrid,20,4,1000,99,10,0.0202382207,0.21747124195,0.23770946265,0.0033572316,0.00016492605,0.7187317609999999,0.722253918675,0.0268135071
PureMPI,20,4,5000,90,10,1.212141215775,1.2667517662,2.478892982025,0.183021009,0.44028401375000004,0.38478678465,1.00809180735,0.66413903235
Hybrid,20,4,5000,90,10,0.867479264725,1.04147952795,1.908958792675,0.20207375290000001,0.13883405925,0.782190501675,1.1230983138,0.6665417551999999
PureMPI,20,4,5000,99,10,1.2351911067999999,1.2659479976,2.5011391044,0.124365508575,0.257805943475,0.385627269775,0.7677987218,0.6654320359
Hybrid,20,4,5000,99,10,0.833226919175,1.03461146355,1.867838382725,0.12103033064999999,0.0359556079,0.74570530655,0.902691245075,0.666009783725
PureMPI,20,4,10000,90,10,3.92137497665,4.055604517475,7.9769794941,0.724525213225,0.997123539425,0.365748286225,2.08739703895,2.648466765875
Hybrid,20,4,10000,90,10,2.8865507245,3.25881695745,6.145367681975,0.709708035,0.53651833535,0.76393324135,2.010159611725,2.653712570675
PureMPI,20,4,10000,99,10,3.9603527188250003,4.08568626645,8.046038985275,0.54174649715,0.22467172145,0.439761817475,1.2061800360750001,2.649159550675
Hybrid,20,4,10000,99,10,2.8077838421,3.2120540142,6.019837856275,0.5001849532,0.1058600545,0.71858352425,1.324628531925,2.6537075638500003
PureMPI,30,3,1000,90,10,0.0279188156,0.417021274575,0.4449400902,0.00793373585,0.0,0.0,0.0,0.0
Hybrid,30,3,1000,90,10,0.031585156924999996,0.30784326795,0.339428424825,0.004787743075,0.00041919945000000003,0.708746314025,0.713953256625,0.026641488075
PureMPI,30,3,1000,99,10,0.02311348915,0.393165051925,0.416278541075,0.0035599470250000003,0.0,0.0,0.0,0.0
Hybrid,30,3,1000,99,10,0.037362635125,0.2864778042,0.3238404393,0.003391206275,0.00025331975,0.71010005475,0.71374458075,0.026705741875
PureMPI,30,3,5000,90,10,1.258655965325,1.2732487917,2.531904757025,0.19706827400000002,0.49065202477500003,0.3850744963,1.07279479505,0.663486778775
Hybrid,30,3,5000,90,10,0.8927512764750001,1.10219675305,1.994948029525,0.147918403175,0.223992943775,0.74053424595,1.1124455928749999,0.667056202875
PureMPI,30,3,5000,99,10,1.22383272645,1.300344467175,2.524177193625,0.109035909175,0.30013018845,0.435929000375,0.845095098,0.66478550435
Hybrid,30,3,5000,99,10,0.94944775105,1.073447585075,2.022895336125,0.094963431325,0.10460454225,0.6845240593,0.8840920328999999,0.665741920475
PureMPI,30,3,10000,90,10,4.0478941798,4.066657721975,8.11455190185,0.7448055148,1.0353880524749999,0.3592570424,2.139450609675,2.6475817561249997
Hybrid,30,3,10000,90,10,3.244968235475,3.54271656275,6.7876847982249995,0.689553499225,0.665729463125,0.7090857625,2.064368724825,2.6531178355
PureMPI,30,3,10000,99,10,3.9923852086,4.054753780375,8.04713898895,0.459326207625,0.313829898825,0.4268628955,1.2000190019749999,2.648534476775
Hybrid,30,3,10000,99,10,3.217379987225,3.4799695015,6.6973494887000005,0.520812988275,0.16080355645,0.6893976926750001,1.371014237425,2.652528524425
