N,Processes,Avg_Serial_Time,Avg_Send_Time,Avg_Parallel_Time,Avg_Receive_Time,Avg_Total_Time,Speedup
1000,1,0.0039112568,1.9967549999999998e-05,0.004246056075,1.496075e-05,0.0042809844,0.9136349106995112
1000,2,0.00337028505,2.8729424999999998e-05,0.001860559,2.3245825000000002e-05,0.0019125342499999999,1.7622089905056604
1000,4,0.00389522315,3.5941575e-05,0.001054584975,4.61936e-05,0.001136720175,3.4267212245089254
1000,8,0.0060885548500000004,0.0011962056,0.000955283675,0.0009222030749999999,0.003073692325,1.9808602183369153
1000,16,0.0068718195,0.0038676858000000003,0.00056779385,0.001342773425,0.005778253075,1.1892555432941123
1000,32,0.0042667389,0.006099164475,0.000202357775,0.0011640191000000001,0.007465541375,0.5715243792349888
1000,64,0.003729283825,0.011071026325,8.21948e-05,0.002058744425,0.013211965575,0.2822656329090534
10000,1,0.278429687025,9.9956975e-05,0.322266995875,4.5776375e-05,0.322412729275,0.8635815578717895
10000,2,0.277733266325,8.124112499999999e-05,0.16048729420000002,0.00037068127499999997,0.1609392166,1.7257028597031212
10000,4,0.277344763275,0.00017374755,0.086216270925,0.0020039677499999998,0.0883939862,3.137597648865846
10000,8,0.27749055625,0.001871228225,0.045869350425,0.0159844756,0.063725054275,4.354496977790138
10000,16,0.278055965875,0.00590622425,0.029389739050000002,0.02004796265,0.055343925975,5.024146028248947
10000,32,0.27821826935,0.01146280765,0.019277691825,0.0065988302249999995,0.037339329725,7.451078297308669
10000,64,0.27883970737499997,0.02060490845,0.008583009225,0.010693788525,0.039881706225,6.991669458720605
100000,1,27.845360755925,0.000459253775,30.2063590288,0.00043725967499999997,30.2072555423,0.9218103484089252
100000,2,27.820871472375,0.00099027155,15.61141842605,0.0035889744750000003,15.615997672075,1.7815622195003988
100000,4,27.826731801024998,0.001417279275,8.2242874503,0.013669073575,8.239373803125,3.3772872145296984
100000,8,27.85176056625,0.008381485925,4.124060332775,0.021652758124999998,4.154094576825,6.7046524943438515
100000,16,27.805671095850002,0.016062676875,2.05285423995,0.035424292125,2.10434120895,13.213480293779996
100000,32,27.811781466025,0.020352840425,1.03046536445,0.043757259825,1.0945754647250001,25.408738238996065
100000,64,27.811430037024998,0.039356529700000004,0.5131852030749999,0.147664189325,0.700205922125,39.71893004363955
